Image Name,Latitude,Longitude
.jpg,86.642261,67.578724
02 The Hidden House A T Associates Exterior Photography Facade .jpg,87.888588,65.899061
02 The Hidden House A T Associates Exterior Photography Facade Concrete Courtyard .jpg,87.888588,65.899061
02 The Hidden House A T Associates Exterior Photography Facade Garden .jpg,87.888588,65.899061
02 The Hidden House A T Associates Exterior Photography Facade Garden Courtyard .jpg,87.888588,65.899061
02 The Hidden House A T Associates Exterior Photography Facade Windows .jpg,87.888588,65.899061
02 The Hidden House A T Associates Interior Photography Facade Courtyard .jpg,87.888588,65.899061
024 Apartment A atelier Drawings .jpg,85.498934,65.388695
025 Concrete Home A Atelier Exterior Photography .jpg,85.622781,65.326392
025 Concrete Home A Atelier Exterior Photography Windows .jpg,85.622781,65.326392
025 Concrete Home A Atelier Exterior Photography Windows Facade .jpg,85.622781,65.326392
025 Concrete Home A Atelier Exterior Photography Windows Facade Concrete .jpg,85.622781,65.326392
025 Concrete Home A Atelier Exterior Photography Windows Forest .jpg,85.622781,65.326392
08 Albatross Avenue House Studio Workshop Beam Handrail Deck .jpg,87.976212,67.70156
08 Albatross Avenue House Studio Workshop Facade .jpg,87.976212,67.70156
08 Albatross Avenue House Studio Workshop Facade Handrail .jpg,87.976212,67.70156
08 Albatross Avenue House Studio Workshop Facade Handrail Balcony .jpg,87.976212,67.70156
08 Albatross Avenue House Studio Workshop Fence Deck Handrail Garden .jpg,87.976212,67.70156
08 Albatross Avenue House Studio Workshop Windows Facade .jpg,87.976212,67.70156
08 Albatross Avenue House Studio Workshop Windows Facade Handrail .jpg,87.976212,67.70156
1 1 1 1 House Juri Troy Architects Drawings .jpg,85.085185,67.380675
1 1 1 1 House Juri Troy Architects Exterior Photography Chair Facade Garden .jpg,85.085185,67.380675
1 1 1 1 House Juri Troy Architects Exterior Photography Facade .jpg,85.085185,67.380675
1 1 1 1 House Juri Troy Architects Exterior Photography Windows .jpg,85.085185,67.380675
1 1 1 1 House Juri Troy Architects Exterior Photography Windows Facade Concrete .jpg,85.085185,67.380675
1 1 1 1 House Juri Troy Architects Exterior Photography Windows Facade Garden .jpg,85.085185,67.380675
1 1 1 1 House Juri Troy Architects Interior Photography Fence Chair .jpg,85.085185,67.380675
1 1 1 1 House Juri Troy Architects Interior Photography Stairs .jpg,85.085185,67.380675
1 3 House Rever Drage Architects Door Windows .jpg,87.734253,67.192631
1 3 House Rever Drage Architects Facade .jpg,87.734253,67.192631
1 3 House Rever Drage Architects Forest .jpg,87.734253,67.192631
1 3 House Rever Drage Architects Windows .jpg,87.734253,67.192631
1 3 House Rever Drage Architects Windows Facade .jpg,87.734253,67.192631
1 3 House Rever Drage Architects Windows Forest .jpg,87.734253,67.192631
1 3 House Rever Drage Architects Windows Glass Facade .jpg,87.734253,67.192631
1 8M Width House YUUA Architects Associates Windows Facade .jpg,86.601883,66.061478
1 Hillside Tim Cuppett Architects Beam .jpg,86.506789,65.823594
1 Hillside Tim Cuppett Architects Facade .jpg,86.506789,65.823594
1 Hillside Tim Cuppett Architects Facade Windows .jpg,86.506789,65.823594
1 Hillside Tim Cuppett Architects Windows Facade .jpg,86.506789,65.823594
100 Mount Street SOM Cityscape Windows .jpg,86.966709,66.777848
100 Mount Street SOM Facade .jpg,86.966709,66.777848
100 Mount Street SOM Facade Steel Windows .jpg,86.966709,66.777848
100 Mount Street SOM Facade Windows .jpg,86.966709,66.777848
100 Mount Street SOM Windows .jpg,86.966709,66.777848
100 Mount Street SOM Windows Facade Cityscape .jpg,86.966709,66.777848
100 NORFOLK ODA New York Cityscape .jpg,87.643128,65.187363
100 NORFOLK ODA New York Cityscape Facade .jpg,87.643128,65.187363
100 NORFOLK ODA New York Facade .jpg,87.643128,65.187363
100 NORFOLK ODA New York Facade Windows .jpg,87.643128,65.187363
100 NORFOLK ODA New York Windows Cityscape .jpg,87.643128,65.187363
100 NORFOLK ODA New York Windows Cityscape Facade .jpg,87.643128,65.187363
100 NORFOLK ODA New York Windows Facade .jpg,87.643128,65.187363
100 NORFOLK ODA New York Windows Glass Facade .jpg,87.643128,65.187363
100 Steuben Street AB Architekten Windows Brick Facade .jpg,87.48316,66.859432
100 Steuben Street AB Architekten Windows Facade .jpg,87.48316,66.859432
100 Steuben Street AB Architekten Windows Facade Glass .jpg,87.48316,66.859432
100 Stewart Hotel and Apartments Olson Kundig Drawings .jpg,86.226409,66.0951
100 Stewart Hotel and Apartments Olson Kundig Facade .jpg,86.226409,66.0951
100 Stewart Hotel and Apartments Olson Kundig Glass Windows Facade .jpg,86.226409,66.0951
100 Stewart Hotel and Apartments Olson Kundig Lighting Windows Facade Cityscape .jpg,86.226409,66.0951
100 Stewart Hotel and Apartments Olson Kundig Waterfront Coast .jpg,86.226409,66.0951
100 Stewart Hotel and Apartments Olson Kundig Windows .jpg,86.226409,66.0951
100 Stewart Hotel and Apartments Olson Kundig Windows Facade .jpg,86.226409,66.0951
102 7 House Studio Ardete Fence Facade Handrail .jpg,86.765245,67.401028
102 7 House Studio Ardete Stairs Facade .jpg,86.765245,67.401028
102 7 House Studio Ardete Windows Chair Table Facade .jpg,86.765245,67.401028
102 7 House Studio Ardete Windows Facade .jpg,86.765245,67.401028
102 The Mill Carter Williamson Architects Beam Facade .jpg,87.353047,65.329769
102 The Mill Carter Williamson Architects Beam Handrail .jpg,87.353047,65.329769
102 The Mill Carter Williamson Architects Brick Facade Beam .jpg,87.353047,65.329769
102 The Mill Carter Williamson Architects Drawings .jpg,87.353047,65.329769
102 The Mill Carter Williamson Architects Facade .jpg,87.353047,65.329769
102 The Mill Carter Williamson Architects Fence Facade Windows Beam Handrail .jpg,87.353047,65.329769
102 The Mill Carter Williamson Architects Stairs Facade .jpg,87.353047,65.329769
102 The Mill Carter Williamson Architects Stairs Windows Beam Handrail .jpg,87.353047,65.329769
102 The Mill Carter Williamson Architects Windows .jpg,87.353047,65.329769
102 The Mill Carter Williamson Architects Windows Beam Facade .jpg,87.353047,65.329769
102 The Mill Carter Williamson Architects Windows Facade .jpg,87.353047,65.329769
105 Collective Housing La Jagu re Guin e et Potin Architects Facade .jpg,85.46952,67.17102
105 Collective Housing La Jagu re Guin e et Potin Architects Facade Handrail Courtyard .jpg,85.46952,67.17102
105 Collective Housing La Jagu re Guin e et Potin Architects Facade Windows .jpg,85.46952,67.17102
105 Collective Housing La Jagu re Guin e et Potin Architects Fence Facade Handrail Garden Windows .jpg,85.46952,67.17102
105 Collective Housing La Jagu re Guin e et Potin Architects Stairs Facade Windows Handrail .jpg,85.46952,67.17102
105 Collective Housing La Jagu re Guin e et Potin Architects Windows .jpg,85.46952,67.17102
105 Collective Housing La Jagu re Guin e et Potin Architects Windows Facade .jpg,85.46952,67.17102
105 Collective Housing La Jagu re Guin e et Potin Architects Windows Facade Chair Handrail .jpg,85.46952,67.17102
10M4D House guga Urban Architecture Drawings .jpg,86.169152,65.540353
10M4D House guga Urban Architecture Exterior Photography .jpg,86.169152,65.540353
10M4D House guga Urban Architecture Exterior Photography Facade Windows .jpg,86.169152,65.540353
10M4D House guga Urban Architecture Exterior Photography Windows Cityscape .jpg,86.169152,65.540353
10M4D House guga Urban Architecture Exterior Photography Windows Facade .jpg,86.169152,65.540353
10M4D House guga Urban Architecture Exterior Photography Windows Facade Beam Chair Patio Deck Courtyard .jpg,86.169152,65.540353
10M4D House guga Urban Architecture Exterior Photography Windows Facade Courtyard .jpg,86.169152,65.540353
10M4D House guga Urban Architecture Interior Photography .jpg,86.169152,65.540353
11 15 Grosvenor Crescent Apartments Flanagan Lawrence Facade Windows .jpg,85.030285,67.705113
